Symbol,HR,estimate,se,zval.random,pVal.random,p.adj,pValQ,direction,num.coherence,k
THAP6,0.619393737078246,-0.4790141227659556,0.15779514879226333,-3.0356707822277587,0.0024000126103553144,0.3462692014152595,0.6985507578634241,----..-,5,5
LNPEP,0.7413869518179016,-0.29923258780275863,0.0985776135199143,-3.035502454543685,0.0024013526888337945,0.3462692014152595,0.9735893678663796,-------,7,7
SYT11,0.7165460112651573,-0.3333128170762626,0.10985437867683137,-3.0341331960631197,0.002412279005906453,0.3462692014152595,0.4070124212504244,------+,6,7
SIX1,0.8527691076123867,-0.1592664508838308,0.052563098365521886,-3.0300050003958603,0.0024454968984639006,0.3462692014152595,0.6101701164418674,---+-+-,5,7
CITED2,0.7119978513905977,-0.3396803852845493,0.11215103207141525,-3.0287762761581054,0.0024554644706972733,0.3462692014152595,0.31049890580353245,-------,7,7
HIF1AN,0.6226764073220948,-0.4737283055329146,0.1564242948188115,-3.028482922564176,0.0024578496844359747,0.3462692014152595,0.7316947672606892,---.---,6,6
TOX,0.7979231135411311,-0.22574303512013708,0.07473409180944843,-3.02061655737679,0.0025226059504488926,0.3462692014152595,0.39904559809675516,--+++--,4,7
SIK3,0.6591816678449821,-0.41675611047475203,0.13801284314059564,-3.0196907837787,0.0025303287315905434,0.3462692014152595,0.4444969088158386,---+++-,4,7
IL21,0.81799322312859,-0.20090122709758346,0.06655912364049099,-3.018387504359597,0.0025412373105697028,0.3462692014152595,0.4799458564972972,---++--,5,7
LSM12,0.6583266728558413,-0.418054007547204,0.13895266763595937,-3.0086072808796973,0.0026244812395087077,0.3462692014152595,0.41193881397638293,----+--,6,7
MTMR4,0.7082885819286615,-0.3449036667412265,0.11492093602336384,-3.0012257006948357,0.002688951776615534,0.3462692014152595,0.43369051184265256,-------,7,7
DENND5B,0.7596140867911164,-0.2749447552039612,0.09194136839166121,-2.990435752845482,0.002785797253499576,0.3462692014152595,0.586511389930726,-------,7,7
PPP1CC,0.6810807959983808,-0.38407433670074037,0.12849352447106813,-2.9890559721335945,0.0027984086258835165,0.3462692014152595,0.5762705030370688,-------,7,7
VPS50,2.2024636014825045,0.7895765526905086,0.26453574850086825,2.9847631451138903,0.0028379798087553006,0.3462692014152595,0.695729384200525,.+.++-.,3,4
RNF214,0.6034574384899785,-0.5050797653888853,0.16950071047270418,-2.9798091346066755,0.002884280372675024,0.3462692014152595,0.8477268414311776,----..-,5,5
TMLHE,0.6922691197840483,-0.36778049754498976,0.12365263881462679,-2.9743036709175774,0.0029365430474596306,0.34998105409816027,0.7953001342500976,----+--,6,7
BTN3A2,0.8047741677725248,-0.21719357784995955,0.0730256981367623,-2.974207483004135,0.0029374637799336714,0.34998105409816027,0.7098826478657624,-------,7,7
P2RX1,0.8566229225846117,-0.15475745419555076,0.05209202909674117,-2.970847111909339,0.002969795854523191,0.35101410117709503,0.5423632668944334,---+++-,4,7
APOL2,0.7288569418148904,-0.3162778051679087,0.10654786325562637,-2.968410585664254,0.0029934417953618652,0.3517005925022919,0.6972508735440363,----+--,6,7
CORO1C,0.7134645088168443,-0.33762258567546716,0.11377723364388877,-2.967400198287398,0.003003297661740985,0.3517005925022919,0.778778581276671,-------,7,7
XPC,0.6679929280636304,-0.4034776922326234,0.1359750755925805,-2.9672915457061837,0.0030043592788845845,0.3517005925022919,0.9039149464310274,-----+-,6,7
KLHDC2,0.6776273506169262,-0.38915777250239225,0.13116796164397357,-2.9668660519302343,0.003008519968058315,0.3517005925022919,0.9365942943762073,---.---,6,6
SLC25A28,0.6535145000257362,-0.4253905579073426,0.14377648000812596,-2.9586936464385576,0.0030894606568476783,0.35736919460272726,0.9303100229564241,-------,7,7
