Symbol,odds.ratio,estimate,se,zval.random,pVal.random,p.adj,pValQ,direction,num.coherence,k
CBX1,2.1036118147834055,0.7436557791764002,0.13485786654686657,5.514367075634856,3.5003734254201696e-8,1.613038921552765e-5,0.1107001176021061,-++++++++++++-++,14,16
FERMT3,1.5755584034787362,0.45460975133373255,0.08245409999264736,5.5134887334198215,3.5178956644104334e-8,1.613038921552765e-5,0.8496323228032655,+++++++...+..+.+,10,10
MEI1,1.474608838401532,0.38839276031750947,0.07048346437528662,5.5104096224545165,3.579995915717359e-8,1.6285880632649977e-5,0.9403813203271767,+++++-+......+.+,8,9
SLAMF6,1.3728074180280097,0.31685785331214333,0.057572583017423365,5.503624063840451,3.720624887997716e-8,1.667902971226614e-5,0.7536710411046771,+++++++......+.+,9,9
AIM2,1.3303477008467564,0.2854403372750891,0.05186852365604042,5.503151374963951,3.730618375145902e-8,1.667902971226614e-5,0.35751590928546984,++++-+++++-+--++,12,16
HDGF,1.5106314202029076,0.4125277224974654,0.07497646898264856,5.502095898820397,3.7530270754917405e-8,1.667902971226614e-5,0.47776151332138656,++++-++++++++-++,14,16
HMCES,1.9082879476183616,0.646206477581967,0.1175000264306642,5.499628359345843,3.8059256410695835e-8,1.6785003663141536e-5,0.33678871996678283,++++++.+++.++-++,13,14
ADAR,1.8617977543104374,0.6215425555068284,0.11321270264277077,5.490042557044434,4.0183691004441624e-8,1.7464953246869122e-5,0.2303283544851187,++++-++++++++-++,14,16
LAMP3,1.3191917785583378,0.27701926010188094,0.05045937565366601,5.489946249102167,4.020560774454934e-8,1.7464953246869122e-5,0.3668002700402733,++++++++++.+++++,15,15
SMURF2,1.7446097895492023,0.5565309143443549,0.10140348026923914,5.488282185845047,4.058613307854271e-8,1.74892180420905e-5,0.19014546187759218,+++--+++++.+++++,13,15
PSMD11,1.7189040269583653,0.5416868941023658,0.09872071674627553,5.4870640323101405,4.086690268429081e-8,1.74892180420905e-5,0.6698104957736271,++++++++++.+++++,15,15
COPS3,1.7270309828044699,0.5464037392494018,0.09961442461463522,5.48518692311078,4.130324423556554e-8,1.7545982591658557e-5,0.8139984062067209,+++--+++++.+++++,13,15
IL10RA,1.3959621060521847,0.33358385930999895,0.0608583090922058,5.481319877037489,4.221643937966047e-8,1.7803011450514628e-5,0.498546585189252,+++++++-++-+-+++,13,16
TFDP1,1.6845107915019635,0.5214751901971488,0.09529358995902182,5.472300817100014,4.442299288308441e-8,1.8597782542226946e-5,0.11371599625228684,++++-+++++-+++++,14,16
PPM1D,1.9320484472611739,0.6585808116980627,0.12041072690143682,5.469453001784046,4.514266040182495e-8,1.876310836010816e-5,0.5374178279661345,++++++++++.+++++,15,15
CDKN2A,1.2850225910541977,0.25077629877957075,0.04590347550565347,5.463122258546309,4.6783215812197654e-8,1.926203041599695e-5,0.13084939681841481,++++-++++++++-++,14,16
CCNE1,1.3171185855465608,0.27544646088417435,0.05042715339718564,5.462264719061995,4.700983640834234e-8,1.926203041599695e-5,0.5290826457457068,++++-+++++.+++++,14,15
CXCR3,1.337284784760515,0.2906412782505792,0.05332009793808086,5.450876676710024,5.0122119851125055e-8,2.039264332590774e-5,0.5860337517727265,+.+++++---+-++++,11,15
LRRC8C,1.5657671531064588,0.44837589756469226,0.08238603346151431,5.4423775332519915,5.257410377171997e-8,2.124067322592552e-5,0.532753421755172,+++-+++...-..+.+,8,10
PSMC5,1.844762741891061,0.6123506740424246,0.11260131428734335,5.43821959732893,5.381562117528172e-8,2.1591275679032818e-5,0.9204803835267035,+++--+++++.+++++,13,15
FANCI,1.6055823187270786,0.4734865061866646,0.08709970656029936,5.4361435288977535,5.444610270884724e-8,2.1670032992773712e-5,0.25069989303205936,++++-+++++++++++,15,16
LCK,1.3279607315028523,0.28364448096558476,0.05218742349229691,5.43511179484559,5.476208704512345e-8,2.1670032992773712e-5,0.7689699948209148,++++++++++-+-+++,14,16
HSPB11,1.6063710375787261,0.4739776209570281,0.08727473763348266,5.430868471327128,5.6080457563048e-8,2.1923275940246364e-5,0.7690746432866197,+++--+++++.++-++,12,15
ACTL6A,1.5369348306230612,0.42979006328217073,0.07915390265900367,5.4298025598777295,5.6416431699158076e-8,2.1923275940246364e-5,0.33724335615808654,++++-+++++-+++++,14,16
OPTN,1.4519250627336575,0.3728903053832148,0.06867970205031095,5.429410644648051,5.654045271396664e-8,2.1923275940246364e-5,0.7151753429546446,++++--+++++++-++,13,16
SSRP1,1.610057052591598,0.47626961476081436,0.08776308128075132,5.426764965523977,5.738461264302265e-8,2.2102257405586605e-5,0.3852012231324024,++++++++++.+++++,15,15
PSMB10,1.4472359540349142,0.36965549865084374,0.06813224829754086,5.425558496712429,5.7773604495500686e-8,2.2104716729291765e-5,0.42860687460789265,++++++++++++--++,14,16
RNF213,1.6315301243670766,0.48951830109596306,0.09025699721353142,5.423604996938387,5.840887948538329e-8,2.220075396966141e-5,0.3825080465767395,+++-+++...+..-.+,8,10
ZNHIT3,2.05541250085096,0.7204765581456584,0.13290976295604734,5.420794846981382,5.933462157936249e-8,2.2405218477948294e-5,0.5116237421137705,+++-++++++++++++,15,16
SUZ12,1.766819841280469,0.5691812307430985,0.10520248744962214,5.410340045577913,6.290518773960059e-8,2.3599248808231717e-5,0.29365358618610615,+++-++++++-+++++,14,16
